title,artist,youtube_url,video_id,status,stems,has_chords,has_gp,processing_seconds
The Wind Cries Mary,Jimi Hendrix,https://www.youtube.com/watch?v=Z7K5VCCdOEM,Z7K5VCCdOEM,completed,"{'bass': '/Users/jeffkozelski/stemscribe/outputs/bb6be708-ca91-4fba-9b57-7aec94021311/stems/bass.mp3', 'drums': '/Users/jeffkozelski/stemscribe/outputs/bb6be708-ca91-4fba-9b57-7aec94021311/stems/drums.mp3', 'guitar': '/Users/jeffkozelski/stemscribe/outputs/bb6be708-ca91-4fba-9b57-7aec94021311/stems/guitar.mp3', 'other': '/Users/jeffkozelski/stemscribe/outputs/bb6be708-ca91-4fba-9b57-7aec94021311/stems/other.mp3', 'piano': '/Users/jeffkozelski/stemscribe/outputs/bb6be708-ca91-4fba-9b57-7aec94021311/stems/piano.mp3', 'vocals': '/Users/jeffkozelski/stemscribe/outputs/bb6be708-ca91-4fba-9b57-7aec94021311/stems/vocals.mp3'}",False,False,460.3
Bold as Love,Jimi Hendrix,https://www.youtube.com/watch?v=ZYxfOxjswxc,ZYxfOxjswxc,completed,"{'bass': '/Users/jeffkozelski/stemscribe/outputs/39e56f8f-c7d4-47ee-bd00-c36817eee098/stems/bass.mp3', 'drums': '/Users/jeffkozelski/stemscribe/outputs/39e56f8f-c7d4-47ee-bd00-c36817eee098/stems/drums.mp3', 'guitar': '/Users/jeffkozelski/stemscribe/outputs/39e56f8f-c7d4-47ee-bd00-c36817eee098/stems/guitar.mp3', 'other': '/Users/jeffkozelski/stemscribe/outputs/39e56f8f-c7d4-47ee-bd00-c36817eee098/stems/other.mp3', 'piano': '/Users/jeffkozelski/stemscribe/outputs/39e56f8f-c7d4-47ee-bd00-c36817eee098/stems/piano.mp3', 'vocals': '/Users/jeffkozelski/stemscribe/outputs/39e56f8f-c7d4-47ee-bd00-c36817eee098/stems/vocals.mp3'}",False,False,386.9
Castles Made of Sand,Jimi Hendrix,https://www.youtube.com/watch?v=ksZTYRqr444,ksZTYRqr444,completed,"{'bass': '/Users/jeffkozelski/stemscribe/outputs/6f98d9f3-2e8f-4b59-80ea-deaaa53afae8/stems/bass.mp3', 'drums': '/Users/jeffkozelski/stemscribe/outputs/6f98d9f3-2e8f-4b59-80ea-deaaa53afae8/stems/drums.mp3', 'guitar': '/Users/jeffkozelski/stemscribe/outputs/6f98d9f3-2e8f-4b59-80ea-deaaa53afae8/stems/guitar.mp3', 'other': '/Users/jeffkozelski/stemscribe/outputs/6f98d9f3-2e8f-4b59-80ea-deaaa53afae8/stems/other.mp3', 'piano': '/Users/jeffkozelski/stemscribe/outputs/6f98d9f3-2e8f-4b59-80ea-deaaa53afae8/stems/piano.mp3', 'vocals': '/Users/jeffkozelski/stemscribe/outputs/6f98d9f3-2e8f-4b59-80ea-deaaa53afae8/stems/vocals.mp3'}",False,False,279.9
Stairway to Heaven,Led Zeppelin,https://www.youtube.com/watch?v=QkF3oxziUI4,QkF3oxziUI4,timeout,0,False,False,600.7
Whole Lotta Love,Led Zeppelin,https://www.youtube.com/watch?v=HibBnC6SVk8,HibBnC6SVk8,completed,"{'bass': '/Users/jeffkozelski/stemscribe/outputs/ca6e05a8-3066-4220-810d-b4e0cf20cb88/stems/bass.mp3', 'drums': '/Users/jeffkozelski/stemscribe/outputs/ca6e05a8-3066-4220-810d-b4e0cf20cb88/stems/drums.mp3', 'guitar': '/Users/jeffkozelski/stemscribe/outputs/ca6e05a8-3066-4220-810d-b4e0cf20cb88/stems/guitar.mp3', 'other': '/Users/jeffkozelski/stemscribe/outputs/ca6e05a8-3066-4220-810d-b4e0cf20cb88/stems/other.mp3', 'piano': '/Users/jeffkozelski/stemscribe/outputs/ca6e05a8-3066-4220-810d-b4e0cf20cb88/stems/piano.mp3', 'vocals': '/Users/jeffkozelski/stemscribe/outputs/ca6e05a8-3066-4220-810d-b4e0cf20cb88/stems/vocals.mp3'}",False,False,515.0
Black Dog,Led Zeppelin,https://www.youtube.com/watch?v=2KPEHohJMuw,2KPEHohJMuw,completed,"{'bass': '/Users/jeffkozelski/stemscribe/outputs/c6acaa93-8bd8-4fa7-b4e1-3df93cbd3a27/stems/bass.mp3', 'drums': '/Users/jeffkozelski/stemscribe/outputs/c6acaa93-8bd8-4fa7-b4e1-3df93cbd3a27/stems/drums.mp3', 'guitar': '/Users/jeffkozelski/stemscribe/outputs/c6acaa93-8bd8-4fa7-b4e1-3df93cbd3a27/stems/guitar.mp3', 'other': '/Users/jeffkozelski/stemscribe/outputs/c6acaa93-8bd8-4fa7-b4e1-3df93cbd3a27/stems/other.mp3', 'piano': '/Users/jeffkozelski/stemscribe/outputs/c6acaa93-8bd8-4fa7-b4e1-3df93cbd3a27/stems/piano.mp3', 'vocals': '/Users/jeffkozelski/stemscribe/outputs/c6acaa93-8bd8-4fa7-b4e1-3df93cbd3a27/stems/vocals.mp3'}",False,False,744.4
Kashmir,Led Zeppelin,https://www.youtube.com/watch?v=ww9484EM2OQ,ww9484EM2OQ,timeout,0,False,False,830.1
Rock and Roll,Led Zeppelin,https://www.youtube.com/watch?v=D2lSwosw9xY,D2lSwosw9xY,completed,"{'bass': '/Users/jeffkozelski/stemscribe/outputs/ad746106-669a-4783-8fae-66baeb3f9edc/stems/bass.mp3', 'drums': '/Users/jeffkozelski/stemscribe/outputs/ad746106-669a-4783-8fae-66baeb3f9edc/stems/drums.mp3', 'guitar': '/Users/jeffkozelski/stemscribe/outputs/ad746106-669a-4783-8fae-66baeb3f9edc/stems/guitar.mp3', 'other': '/Users/jeffkozelski/stemscribe/outputs/ad746106-669a-4783-8fae-66baeb3f9edc/stems/other.mp3', 'other_deep': '/Users/jeffkozelski/stemscribe/outputs/ad746106-669a-4783-8fae-66baeb3f9edc/stems/deep_pass_0/htdemucs_6s/other/other.mp3', 'piano': '/Users/jeffkozelski/stemscribe/outputs/ad746106-669a-4783-8fae-66baeb3f9edc/stems/piano.mp3', 'vocals': '/Users/jeffkozelski/stemscribe/outputs/ad746106-669a-4783-8fae-66baeb3f9edc/stems/vocals.mp3'}",False,False,470.5
Going to California,Led Zeppelin,https://www.youtube.com/watch?v=NrUIJY_Xu2s,NrUIJY_Xu2s,failed,0,False,False,20.0
Over the Hills and Far Away,Led Zeppelin,https://www.youtube.com/watch?v=Am9gu4wkY9E,Am9gu4wkY9E,completed,"{'bass': '/Users/jeffkozelski/stemscribe/outputs/af12bd1b-16cf-4886-8a8d-d4e716e21e61/stems/bass.mp3', 'drums': '/Users/jeffkozelski/stemscribe/outputs/af12bd1b-16cf-4886-8a8d-d4e716e21e61/stems/drums.mp3', 'guitar': '/Users/jeffkozelski/stemscribe/outputs/af12bd1b-16cf-4886-8a8d-d4e716e21e61/stems/guitar.mp3', 'other': '/Users/jeffkozelski/stemscribe/outputs/af12bd1b-16cf-4886-8a8d-d4e716e21e61/stems/other.mp3', 'piano': '/Users/jeffkozelski/stemscribe/outputs/af12bd1b-16cf-4886-8a8d-d4e716e21e61/stems/piano.mp3', 'vocals': '/Users/jeffkozelski/stemscribe/outputs/af12bd1b-16cf-4886-8a8d-d4e716e21e61/stems/vocals.mp3'}",False,False,781.9
The Rain Song,Led Zeppelin,https://www.youtube.com/watch?v=g8VduT7aR2c,g8VduT7aR2c,timeout,0,False,False,769.5
Babe I'm Gonna Leave You,Led Zeppelin,https://www.youtube.com/watch?v=zX_wwlIZ6ko,zX_wwlIZ6ko,completed,"{'bass': '/Users/jeffkozelski/stemscribe/outputs/7d02323a-b925-4198-a67c-fa1d0e3b8440/stems/bass.mp3', 'drums': '/Users/jeffkozelski/stemscribe/outputs/7d02323a-b925-4198-a67c-fa1d0e3b8440/stems/drums.mp3', 'guitar': '/Users/jeffkozelski/stemscribe/outputs/7d02323a-b925-4198-a67c-fa1d0e3b8440/stems/guitar.mp3', 'other': '/Users/jeffkozelski/stemscribe/outputs/7d02323a-b925-4198-a67c-fa1d0e3b8440/stems/other.mp3', 'piano': '/Users/jeffkozelski/stemscribe/outputs/7d02323a-b925-4198-a67c-fa1d0e3b8440/stems/piano.mp3', 'vocals': '/Users/jeffkozelski/stemscribe/outputs/7d02323a-b925-4198-a67c-fa1d0e3b8440/stems/vocals.mp3'}",False,False,633.7
